dep_id,application_id,application_name,library,version,license,dependency_type,last_updated,transitive_deps
DEP-0001,APP-001,CustomerPortal,micrometer-core,3.0.10,Apache-2.0,direct,2025-01-30,tomcat-embed-core:2.4.0
DEP-0002,APP-001,CustomerPortal,sqlalchemy,5.13.5,ISC,direct,2022-03-18,
DEP-0003,APP-001,CustomerPortal,netty-all,2.7.4,Unlicense,direct,2025-05-01,assertj-core:2.1.1
DEP-0004,APP-001,CustomerPortal,json-iterator,2.3.2,BSD-2-Clause,direct,2024-12-30,disruptor:3.1.0
DEP-0005,APP-001,CustomerPortal,log4j-api,5.1.3,Apache-2.0,direct,2025-07-11,eslint:3.4.1
DEP-0006,APP-001,CustomerPortal,commons-collections4,4.7.1,MIT,direct,2021-03-31,
DEP-0007,APP-001,CustomerPortal,commons-codec,4.11.10,BSD-2-Clause,direct,2024-08-16,
DEP-0008,APP-001,CustomerPortal,gson,1.6.10,Dual-MIT/Commercial,direct,2024-10-04,
DEP-0009,APP-001,CustomerPortal,lombok,4.1.2,BSD-3-Clause,direct,2023-10-31,jackson-core:2.2.2
DEP-0010,APP-001,CustomerPortal,werkzeug,1.7.10,MIT,direct,2022-02-23,
DEP-0011,APP-001,CustomerPortal,jackson-annotations,5.0.6,BSD-3-Clause,direct,2026-01-01,hibernate-core:3.2.0
DEP-0012,APP-001,CustomerPortal,resilience4j,1.8.0,ISC,direct,2024-11-11,
DEP-0013,APP-001,CustomerPortal,slf4j-api,2.8.8,MPL-2.0,direct,2025-07-03,httpcore:2.2.1
DEP-0014,APP-001,CustomerPortal,go-jwt,5.10.5,UNKNOWN,direct,2026-01-03,logback-classic:2.7.4
DEP-0015,APP-001,CustomerPortal,spring-security-core,1.2.0,MIT,direct,2026-02-19,
DEP-0016,APP-001,CustomerPortal,snakeyaml,3.1.0,MIT,direct,2025-06-09,jackson-core:4.9.0;aws-sdk-s3:3.4.2;eslint:2.2.5
DEP-0017,APP-001,CustomerPortal,opentelemetry-api,4.10.2,ISC,direct,2025-01-15,httpcore:2.6.2
DEP-0018,APP-001,CustomerPortal,logback-core,3.4.2,BSD-3-Clause,direct,2026-01-03,
DEP-0019,APP-001,CustomerPortal,pyyaml,5.7.10,Unlicense,direct,2021-12-11,commons-io:3.7.0;eslint:3.3.1;fabric:1.5.2
DEP-0020,APP-001,CustomerPortal,jackson-databind,1.1.6,BSD-3-Clause,direct,2025-06-23,hibernate-core:1.7.4
DEP-0021,APP-001,CustomerPortal,caffeine,2.5.7,BSD-2-Clause,direct,2024-09-16,
DEP-0022,APP-001,CustomerPortal,log4j-core,2.2.8,ISC,direct,2024-07-02,eslint:2.9.3
DEP-0023,APP-001,CustomerPortal,grpc-core,2.1.1,ISC,direct,2025-12-06,
DEP-0024,APP-001,CustomerPortal,jedis,3.9.3,BSD-3-Clause,direct,2025-06-05,
DEP-0025,APP-001,CustomerPortal,jetty-server,2.3.0,BSD-3-Clause,direct,2025-04-12,disruptor:3.1.5;netty-handler:4.2.2
DEP-0026,APP-001,CustomerPortal,commons-lang3,4.11.2,Apache-2.0,direct,2025-12-30,
DEP-0027,APP-001,CustomerPortal,mockito-core,1.2.10,ISC,direct,2024-08-02,httpcore:4.8.5;spring-web:4.9.1
DEP-0028,APP-001,CustomerPortal,junit-jupiter,4.1.8,ISC,direct,2024-03-30,commons-io:2.3.1
DEP-0029,APP-001,CustomerPortal,hibernate-validator,1.13.1,Unlicense,direct,2023-05-03,
DEP-0030,APP-001,CustomerPortal,guava,1.2.6,ISC,direct,2024-06-13,logback-classic:4.1.3;netty-handler:2.2.4
DEP-0031,APP-001,CustomerPortal,h2-database,5.3.1,ISC,direct,2025-07-26,
DEP-0032,APP-001,CustomerPortal,mapstruct,4.15.0,Unlicense,direct,2024-07-10,netty-handler:3.3.0
DEP-0033,APP-001,CustomerPortal,kafka-clients,4.8.5,GPL-3.0,direct,2025-10-17,eslint:2.2.2;fabric:4.5.2
DEP-0034,APP-001,CustomerPortal,mysql-connector-java,4.2.3,BSD-3-Clause,direct,2025-06-18,spring-web:2.1.2;crypto-go:4.2.4
DEP-0035,APP-001,CustomerPortal,sarama,5.0.2,Apache-2.0,direct,2020-04-13,aws-sdk-s3:3.7.4;spring-core:4.10.0;assertj-core:1.3.2
DEP-0036,APP-001,CustomerPortal,tomcat-embed-core,2.7.8,BSD-2-Clause,transitive,2024-09-01,
DEP-0037,APP-001,CustomerPortal,fabric,3.0.6,Dual-MIT/Commercial,transitive,2025-01-13,
DEP-0038,APP-001,CustomerPortal,commons-io,2.4.6,Dual-MIT/Commercial,transitive,2025-09-29,
DEP-0039,APP-001,CustomerPortal,spring-core,2.9.0,BSD-2-Clause,transitive,2026-03-21,
DEP-0040,APP-001,CustomerPortal,assertj-core,3.6.6,Apache-2.0,transitive,2025-11-16,
DEP-0041,APP-001,CustomerPortal,jackson-core,4.9.1,AGPL-3.0,transitive,2025-06-19,
DEP-0042,APP-001,CustomerPortal,hibernate-core,3.4.1,BSD-2-Clause,transitive,2025-03-11,
DEP-0043,APP-001,CustomerPortal,disruptor,2.2.8,Dual-MIT/Commercial,transitive,2026-02-05,
DEP-0044,APP-001,CustomerPortal,spring-web,2.11.0,BSD-2-Clause,transitive,2025-07-20,
DEP-0045,APP-001,CustomerPortal,logback-classic,4.11.0,Dual-MIT/Commercial,transitive,2024-01-27,
DEP-0046,APP-001,CustomerPortal,eslint,2.10.8,Unlicense,transitive,2025-04-04,
DEP-0047,APP-001,CustomerPortal,aws-sdk-s3,2.4.1,Unlicense,transitive,2024-12-05,
DEP-0048,APP-001,CustomerPortal,crypto-go,3.10.1,Dual-MIT/Commercial,transitive,2025-05-06,
DEP-0049,APP-001,CustomerPortal,httpcore,3.4.4,MIT,transitive,2026-01-19,
DEP-0050,APP-001,CustomerPortal,netty-handler,1.7.3,BSD-3-Clause,transitive,2025-07-29,
DEP-0051,APP-002,PaymentService,caffeine,4.4.5,Apache-2.0,direct,2025-07-19,
DEP-0052,APP-002,PaymentService,aws-sdk-s3,2.0.9,Dual-MIT/Commercial,direct,2023-08-04,
DEP-0053,APP-002,PaymentService,resilience4j,5.1.10,MPL-2.0,direct,2025-06-25,
DEP-0054,APP-002,PaymentService,snakeyaml,3.15.2,LGPL-2.1,direct,2026-04-10,lombok:2.6.0
DEP-0055,APP-002,PaymentService,vue,3.3.1,Dual-MIT/Commercial,direct,2024-12-24,commons-lang3:3.2.0
DEP-0056,APP-002,PaymentService,httpcore,5.15.3,MIT,direct,2024-09-22,log4j-core:2.1.4;commons-codec:1.1.2
DEP-0057,APP-002,PaymentService,logback-core,4.9.4,MIT,direct,2025-06-04,disruptor:1.1.0;commons-lang3:1.2.5
DEP-0058,APP-002,PaymentService,grpc-core,3.11.7,BSD-2-Clause,direct,2024-12-05,
DEP-0059,APP-002,PaymentService,httpclient,4.14.4,BSD-3-Clause,direct,2024-11-18,
DEP-0060,APP-002,PaymentService,guava,1.5.1,Unlicense,direct,2026-02-16,disruptor:1.10.5
DEP-0061,APP-002,PaymentService,aws-sdk-sqs,2.15.7,LGPL-2.1,direct,2024-06-13,log4j-core:2.10.2;logback-classic:1.6.5
DEP-0062,APP-002,PaymentService,redis-py,4.11.10,ISC,direct,2026-02-18,
DEP-0063,APP-002,PaymentService,jedis,2.15.7,Apache-2.0,direct,2025-03-12,
DEP-0064,APP-002,PaymentService,spring-boot-starter,4.7.1,Dual-MIT/Commercial,direct,2025-04-20,
DEP-0065,APP-002,PaymentService,spring-web,4.0.1,UNKNOWN,direct,2024-09-02,lombok:3.8.4;log4j-core:2.10.5
DEP-0066,APP-002,PaymentService,hibernate-validator,4.10.5,BSD-2-Clause,direct,2026-02-25,spring-core:3.7.0
DEP-0067,APP-002,PaymentService,assertj-core,2.0.5,ISC,direct,2024-09-17,
DEP-0068,APP-002,PaymentService,jackson-core,4.3.4,BSD-3-Clause,direct,2024-12-13,jackson-annotations:4.0.5;aiohttp:1.7.3
DEP-0069,APP-002,PaymentService,netty-all,5.4.7,AGPL-3.0,direct,2022-06-05,commons-codec:2.9.1;logback-classic:2.1.3
DEP-0070,APP-002,PaymentService,tomcat-embed-core,5.10.8,Unlicense,direct,2025-03-08,disruptor:3.7.1
