dep_id,application_id,library,version,is_risky,risk_type,severity,explanation
DEP-0001,APP-001,micrometer-core,3.0.10,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library micrometer-core:3.0.10 has CVE-2026-1050 (CVSS 6.1, MEDIUM). No patch available yet."
DEP-0002,APP-001,sqlalchemy,5.13.5,True,VULNERABLE_DEPENDENCY,LOW,"Library sqlalchemy:5.13.5 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available yet."
DEP-0003,APP-001,netty-all,2.7.4,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library netty-all:2.7.4 has CVE-2024-1163 (CVSS 6.8, MEDIUM). Patch available: upgrade to 6.0.0"
DEP-0004,APP-001,json-iterator,2.3.2,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library json-iterator:2.3.2 has CVE-2022-1083 (CVSS 6.5, MEDIUM). No patch available yet."
DEP-0005,APP-001,log4j-api,5.1.3,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library log4j-api:5.1.3 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available yet."
DEP-0006,APP-001,commons-collections4,4.7.1,True,UNMAINTAINED,HIGH,Library commons-collections4:4.7.1 last updated 2021-03-31 (1847 days ago). No security patches or maintenance activity.
DEP-0007,APP-001,commons-codec,4.11.10,False,NONE,NONE,No issues detected
DEP-0008,APP-001,gson,1.6.10,False,NONE,NONE,No issues detected
DEP-0009,APP-001,lombok,4.1.2,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library lombok:4.1.2 has CVE-2023-1002 (CVSS 9.9, CRITICAL). Patch available: upgrade to 4.10.0"
DEP-0010,APP-001,werkzeug,1.7.10,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library werkzeug:1.7.10 has CVE-2024-1004 (CVSS 5.6, MEDIUM). No patch available yet."
DEP-0011,APP-001,jackson-annotations,5.0.6,True,VULNERABLE_DEPENDENCY,LOW,"Library jackson-annotations:5.0.6 has CVE-2021-1018 (CVSS 0.9, LOW). Patch available: upgrade to 3.6.0"
DEP-0012,APP-001,resilience4j,1.8.0,False,NONE,NONE,No issues detected
DEP-0013,APP-001,slf4j-api,2.8.8,False,NONE,NONE,No issues detected
DEP-0014,APP-001,go-jwt,5.10.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library go-jwt:5.10.5 has CVE-2025-1145 (CVSS 6.7, MEDIUM). Patch available: upgrade to 3.0.0"
DEP-0015,APP-001,spring-security-core,1.2.0,True,VULNERABLE_DEPENDENCY,LOW,"Library spring-security-core:1.2.0 has CVE-2024-1104 (CVSS 3.3, LOW). Patch available: upgrade to 3.4.0"
DEP-0016,APP-001,snakeyaml,3.1.0,False,NONE,NONE,No issues detected
DEP-0017,APP-001,opentelemetry-api,4.10.2,False,NONE,NONE,No issues detected
DEP-0018,APP-001,logback-core,3.4.2,False,NONE,NONE,No issues detected
DEP-0019,APP-001,pyyaml,5.7.10,True,UNMAINTAINED,HIGH,Library pyyaml:5.7.10 last updated 2021-12-11 (1592 days ago). No security patches or maintenance activity.
DEP-0020,APP-001,jackson-databind,1.1.6,False,NONE,NONE,No issues detected
DEP-0021,APP-001,caffeine,2.5.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library caffeine:2.5.7 has CVE-2022-1085 (CVSS 5.5, MEDIUM). Patch available: upgrade to 4.7.0"
DEP-0022,APP-001,log4j-core,2.2.8,False,NONE,NONE,No issues detected
DEP-0023,APP-001,grpc-core,2.1.1,False,NONE,NONE,No issues detected
DEP-0024,APP-001,jedis,3.9.3,True,VULNERABLE_DEPENDENCY,LOW,"Library jedis:3.9.3 has CVE-2025-1195 (CVSS 1.1, LOW). Patch available: upgrade to 6.0.0"
DEP-0025,APP-001,jetty-server,2.3.0,False,NONE,NONE,No issues detected
DEP-0026,APP-001,commons-lang3,4.11.2,False,NONE,NONE,No issues detected
DEP-0027,APP-001,mockito-core,1.2.10,True,VULNERABLE_DEPENDENCY,HIGH,"Library mockito-core:1.2.10 has CVE-2025-1076 (CVSS 8.7, HIGH). No patch available yet."
DEP-0028,APP-001,junit-jupiter,4.1.8,True,UNMAINTAINED,MEDIUM,Library junit-jupiter:4.1.8 last updated 2024-03-30 (752 days ago). No security patches or maintenance activity.
DEP-0029,APP-001,hibernate-validator,1.13.1,True,UNMAINTAINED,MEDIUM,Library hibernate-validator:1.13.1 last updated 2023-05-03 (1084 days ago). No security patches or maintenance activity.
DEP-0030,APP-001,guava,1.2.6,False,NONE,NONE,No issues detected
DEP-0031,APP-001,h2-database,5.3.1,False,NONE,NONE,No issues detected
DEP-0032,APP-001,mapstruct,4.15.0,False,NONE,NONE,No issues detected
DEP-0033,APP-001,kafka-clients,4.8.5,True,LICENSE_CONFLICT,CRITICAL,Library kafka-clients uses GPL-3.0 license in proprietary application CustomerPortal. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0034,APP-001,mysql-connector-java,4.2.3,False,NONE,NONE,No issues detected
DEP-0035,APP-001,sarama,5.0.2,True,VULNERABLE_DEPENDENCY,LOW,"Library sarama:5.0.2 has CVE-2025-1192 (CVSS 2.3, LOW). Patch available: upgrade to 4.0.0"
DEP-0036,APP-001,tomcat-embed-core,2.7.8,False,NONE,NONE,No issues detected
DEP-0037,APP-001,fabric,3.0.6,False,NONE,NONE,No issues detected
DEP-0038,APP-001,commons-io,2.4.6,False,NONE,NONE,No issues detected
DEP-0039,APP-001,spring-core,2.9.0,False,NONE,NONE,No issues detected
DEP-0040,APP-001,assertj-core,3.6.6,False,NONE,NONE,No issues detected
DEP-0041,APP-001,jackson-core,4.9.1,True,TRANSITIVE_LICENSE_CONFLICT,HIGH,Transitive dependency jackson-core uses AGPL-3.0 in proprietary app CustomerPortal. GPL contamination through dependency chain.
DEP-0042,APP-001,hibernate-core,3.4.1,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency hibernate-core:3.4.1 has CVE-2022-1023 (CVSS 1.0). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0043,APP-001,disruptor,2.2.8,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency disruptor:2.2.8 has CVE-2024-1174 (CVSS 7.4). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0044,APP-001,spring-web,2.11.0,False,NONE,NONE,No issues detected
DEP-0045,APP-001,logback-classic,4.11.0,True,UNMAINTAINED,MEDIUM,Transitive dependency logback-classic:4.11.0 last updated 2024-01-27 (815 days ago). Unmaintained transitive risk.
DEP-0046,APP-001,eslint,2.10.8,False,NONE,NONE,No issues detected
DEP-0047,APP-001,aws-sdk-s3,2.4.1,False,NONE,NONE,No issues detected
DEP-0048,APP-001,crypto-go,3.10.1,False,NONE,NONE,No issues detected
DEP-0049,APP-001,httpcore,3.4.4,False,NONE,NONE,No issues detected
DEP-0050,APP-001,netty-handler,1.7.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency netty-handler:1.7.3 has CVE-2023-1080 (CVSS 5.5). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0051,APP-002,caffeine,4.4.5,True,VULNERABLE_DEPENDENCY,LOW,"Library caffeine:4.4.5 has CVE-2026-1084 (CVSS 1.3, LOW). Patch available: upgrade to 3.6.0"
